L1D,L1I,L2,Unrolling,Cycles
64,4,256,32,46628132
64,4,512,2,42542727
64,4,512,4,42322916
64,4,512,8,42225411
64,4,512,16,42150236
64,4,512,32,46626627
64,4,1024,2,42555261
64,4,1024,4,42333648
64,4,1024,8,42193205
64,4,1024,16,42152672
64,4,1024,32,46653428
64,8,128,2,42729540
64,8,128,4,42524324
64,8,128,8,42351241
64,8,128,16,42301419
64,8,128,32,42191721
64,8,256,2,42556208
64,8,256,4,42333456
64,8,256,8,42200512
64,8,256,16,42165653
64,8,256,32,41926679
64,8,512,2,42539692
64,8,512,4,42316617
64,8,512,8,42179944
64,8,512,16,42134035
64,8,512,32,41922700
64,8,1024,2,42547594
64,8,1024,4,42338412
64,8,1024,8,42201198
64,8,1024,16,42159086
64,8,1024,32,41953044
64,16,128,2,42713968
64,16,128,4,42506211
64,16,128,8,42335603
64,16,128,16,42285727
64,16,128,32,42176815
64,16,256,2,42542539
64,16,256,4,42316589
64,16,256,8,42234409
64,16,256,16,42136472
64,16,256,32,41910851
64,16,512,2,42525189
64,16,512,4,42301016
64,16,512,8,42167751
64,16,512,16,42127605
64,16,512,32,41904968
64,16,1024,2,42535233
64,16,1024,4,42308869
64,16,1024,8,42171264
64,16,1024,16,42142327
64,16,1024,32,41936030
64,32,128,2,42710230
64,32,128,4,42501495
64,32,128,8,42330954
64,32,128,16,42282101
64,32,128,32,42174260
64,32,256,2,42537217
64,32,256,4,42309754
64,32,256,8,42181680
64,32,256,16,42141013
64,32,256,32,41906326
64,32,512,2,42517024
64,32,512,4,42292689
64,32,512,8,42159763
64,32,512,16,42124369
64,32,512,32,41901806
64,32,1024,2,42531819
64,32,1024,4,42320948
64,32,1024,8,42167727
64,32,1024,16,42129178
64,32,1024,32,41932986
64,64,128,2,42707972
64,64,128,4,42498109
64,64,128,8,42328732
64,64,128,16,42280094
64,64,128,32,42169367
64,64,256,2,42538014
64,64,256,4,42330842
64,64,256,8,42182350
64,64,256,16,42142216
64,64,256,32,41904339
64,64,512,2,42516360
64,64,512,4,42291977
64,64,512,8,42158958
64,64,512,16,42123591
64,64,512,32,41903919
64,64,1024,2,42534131
64,64,1024,4,42307546
64,64,1024,8,42169919
64,64,1024,16,42141013
64,64,1024,32,41929435
